Frame,Latitude,Longitude,Location,Defects,Defect Count
frame_00087.jpg,19.056408,74.711807,"Ahmadnagar, Maharashtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India","pothole: 1, manhole: 1",2
frame_00088.jpg,19.056408,74.711807,"| 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, ars 414005, India, F Lat 19.056408° Long 74.711807°, é lL SSte ii om, r q",pothole: 1,1
frame_00089.jpg,19.056408,74.711807,"Ahmadnagar, MaharasnNtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India, ~™ Lat 19.056408° Long 74.711807°",pothole: 1,1
frame_00090.jpg,19.056408,74.711807,"Ahmadnagar, MaharasnNtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",pothole: 2,2
frame_00091.jpg,19.056408,74.711807,"* Ahmadnagar, MaharasnNtra, India, fae"" 3 =3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, “3*34 414005, India",pothole: 1,1
frame_00092.jpg,19.056408,74.711807,"- Ahmadnagar, Maharashtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",pothole: 2,2
frame_00093.jpg,19.056408,74.711807,"& Ahmadnagar, Maharashtra, India &, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",pothole: 3,3
frame_00094.jpg,19.056408,74.711807,"TW ui ath, Sincere, Ahmadnagar, Maharashtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India, : _ Lat 19.056408° Long 74.711807°, Le ion ——_*",None,0
frame_00095.jpg,Not found,Not found,"= Ahmadnagar, Maharashtra, India |, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 4140085, India, @ Pat 19.056408° Long 74.711807°",None,0
frame_00096.jpg,19.056409,74.711744,"fas = Ahmadnagar, Maharashtra, India, + 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, a 414005, India, ™ Lat 19.056409° Long 74.711744°",pothole: 1,1
frame_00097.jpg,19.056409,74.711744,"Ahmadnagar, Maharashtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",None,0
frame_00098.jpg,19.056409,74.711744,"Ahmadnagar, Maharashtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",None,0
frame_00099.jpg,19.056409,74.711744,"Ahmadnagar, Maharashtra, India, fede 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",None,0
frame_00100.jpg,19.056409,74.711744,"om Anmadnagar, Maharashtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, , Se Lat 19.056409° Long 74.711744°",cracks: 2,2
frame_00101.jpg,19.056409,74.711744,"Ahmadnagar, Maharashtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, ie 414005, India, m, Lat 19.056409° Long 74.711744°",cracks: 1,1
frame_00102.jpg,19.056409,74.711691,"ihe oa ae ., CHy 2 #e\. Ahmadnagar, Maharashtra, India, ¥ mists 3p46+mmm, Kedgaon, Ahmadnagar, Waharachtra, 414005, India",cracks: 1,1
frame_00103.jpg,19.056409,74.711691,"' Ahmadnagar, Maharashtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, pes Be Lat 19.056409° Long 74.711691°",None,0
frame_00104.jpg,19.056409,74.711691,"3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India, ™ Lat 19.056409° Long 74.711691°",pothole: 1,1
frame_00105.jpg,19.056409,74.711691,"Ahmadnagar, Maharashtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",cracks: 2,2
frame_00106.jpg,19.056409,74.711691,"epee Se, #222 Ahmadnagar, Maharashtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",cracks: 1,1
frame_00107.jpg,19.056409,74.711691,"Ahmadnagar, MaharasnNtra, India, 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India, © Lat 19.056409° Long 74.711691°",None,0
frame_00108.jpg,19.05641,74.711632,"« Ahmadnagar, Maharashtra, India, ee 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",None,0
frame_00109.jpg,19.05641,74.711632,"te Ahmadnagar, Maharashtra, India, as 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, 2m) 414005, India, ™ Lat 19.05641° Long 74.711632°",pothole: 1,1
frame_00110.jpg,19.05641,74.711632,"a eobuiee, <M Sigs,eam Ahmadnagar, Maharashtra, India, “Aen, wikis 3p46+mmm, Kedgaon, Ahmadnagar, Maharashtra, ee 414005, India, : Lat 19.05641° Long 74.711632°, ' 4 . a, ‘gi",pothole: 1,1
frame_00111.jpg,19.05641,74.711632,"414005, India",None,0
frame_00112.jpg,Not found,Not found,"Tatelts, r, Maharashtra, 730, Maharashtra, Ahmadnaga, Kedgao, 01 PM GMT +05, Long 74.711632°, , India, 05641°, 3p46+mmm,, 414005, Lat 19, 17/05/2025 12, eed, jn.”, {Goo",cracks: 1,1
frame_00113.jpg,19.05641,74.711632,"3p46+mmm, Kedgaon, Ahmadnagar, Mafiarashtra, 414005, India",cracks: 1,1
frame_00114.jpg,Not found,Not found,"414005, India",None,0
frame_00115.jpg,19.056415,74.71157,"7, Mohininagar, \eeeen: Ahmadnagar, Maharashtra‘, ie 414005, India, ay Lat 19.056415° Long 74.71157°, “Goo",None,0
frame_00116.jpg,19.056415,74.71157,"Ahmadnagar, Maharashtra, India <*, 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra Oa aS",pothole: 1,1
frame_00117.jpg,19.056415,74.71157,"2 aS, Shasaees, Ahmadnagar, Maharashtra, India |, 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",pothole: 1,1
frame_00118.jpg,19.056415,74.71157,"7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra Sa, 414005, India ,",cracks: 1,1
frame_00119.jpg,19.056415,74.71157,"Ahmadnagar, Maharashtra, India, 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtrag, ie 414005, India, m Lat 19.056415° Long 74.71157°",None,0
frame_00120.jpg,19.056415,74.71157,"Ry d, Ahmadnagar, MaharasNtra, India, 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra ‘, 414005, India 3",None,0
frame_00121.jpg,19.056415,74.71157,"7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra§, 414005, India",pothole: 1,1
frame_00122.jpg,19.056415,74.71157,"Ahmadnagar, MaharasnNtra, India *, vias 7, Mohininagar, Kedgaon, Anhmadnagar, Maharashtra:, “el 4140085, India, ™ Lat 19.056415° Long 74.71157°",pothole: 2,2
frame_00123.jpg,19.056417,74.711515,"414005, India","pothole: 2, cracks: 1",3
frame_00124.jpg,19.056417,74.711515,"Ahmadnagar, Maharashtra, India +, 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",pothole: 1,1
frame_00125.jpg,19.056417,74.711515,"Ahmadnagar, Maharashtra, India, 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra, 414005, India, — Lat 19.056417° Long 74.711515°",pothole: 1,1
frame_00126.jpg,19.056417,74.711515,"Ahmadnagar, MaharasnNtra, India, 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",pothole: 2,2
frame_00127.jpg,19.056417,74.711515,"Ahmadnagar, MaharasnNtra, India, 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra, 414005, India =, = Lat 19.056417° Long 74.711515° )",pothole: 2,2
frame_00128.jpg,Not found,Not found,"“a Ahmadnagar, Maharashtra, India, 7, Mohininagar, Kedgaon, Anmadnagar, Maharashtra i, 414005, India, | Lat.19.056417° Long 74.711515°",pothole: 1,1
frame_00129.jpg,19.05642,74.71146,"fg Ahmadnagar, Maharashtra, India ¢, : 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra fim, 414005, India, » Lat 19.05642° Long 74.71146°",pothole: 1,1
frame_00130.jpg,19.05642,74.71146,"€ Ahmadnagar, Maharashtra, India =, Peek =4 7, Mohininagar, Kedgaon, Anmadnagar, Maharashtra, oe = 414005, India, ma,, ay Lat 19.05642° Long 74.71146°, org | eae _— | . |",pothole: 1,1
frame_00131.jpg,19.05642,74.71146,"TAMUILULAN 4 Se Sa, Ahmadnagar, MaharasnNtra, India, ti 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra, wm 414005, India",pothole: 3,3
frame_00132.jpg,19.05642,74.71146,"| ne nae 7, Mohininagar, Redgaon' Ahmadnagar, Maharashtral_, x Ete eas = °414005, India, ~~ Ex: ae Lat 19.05642° Long 74.71146°, te” E, oe ea",pothole: 3,3
frame_00133.jpg,19.05642,74.71146,"Ahmadnagar, Maharashtra, India, 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra, 414005, India, - Lat 19.05642° Long 74.71146°",pothole: 3,3
frame_00134.jpg,19.05642,74.71146,"414005, India",pothole: 1,1
frame_00135.jpg,19.056418,74.7114,"414005, India",pothole: 1,1
frame_00136.jpg,19.056418,74.7114,"Mima, AMMAN LANA, SRS SRS, Ahmadnagar, Maharashtra, India, 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra}, 414005, India",pothole: 1,1
frame_00137.jpg,19.056418,74.7114,"Ahmadnagar, Maharashtra, India, 21 a 7, Mohininagar, Kedgaon, Anmadnagar, Maharashtra, =="" 414005, India",pothole: 2,2
frame_00138.jpg,19.056418,74.7114,"ae =I, meee es, SNC O OE, 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra, “a 414005, India, m Lat 19.056418° Long 74.7114°",None,0
frame_00139.jpg,19.056418,74.7114,"iim, 414005, India, «= Lat 19.056418° Long 74.7114°",None,0
frame_00140.jpg,19.056418,74.7114,"Ahmadnagar, MaharasnNtra, India, 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra, ™ Lat 19.056418° Long 74.7114°, isa",None,0
frame_00141.jpg,19.056414,74.711348,"Hii), til, DSS, rhe, Ahmadnagar, MaharasnNtra, India, 4140085, India",None,0
frame_00142.jpg,19.056414,74.711348,"be ee, Ahmadnagar, Maharashtra, India, 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra Sem, 4140085, India",None,0
frame_00143.jpg,19.056414,74.711348,"TTT, SOOY, Soe, see, Ahmadnagar, Maharashtra, India, 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra, 4140085, India",None,0
frame_00144.jpg,19.056414,74.711348,"ee,, sseee, oC Sess. Sexy, me PV 5, Ahmadnagar, Maharashtra, India, 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra, = 414005, India, _ Lat 19.056414° Long 74.711348°",None,0
frame_00145.jpg,19.056414,74.711348,"Ahmadnagar, Maharashtra, India, 7, Mohininagar, Kedgaon, Anmadnagar, Maharashtra, 414005, India",None,0
frame_00146.jpg,19.056397,74.711312,"ie Ahmadnagar, Maharashtra, India |, "" 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",None,0
frame_00147.jpg,19.056397,74.711312,"; Ahmadnagar, Maharashtra, India |, 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra, 414005, India, » Lat 19.056397° Long 74.711312°",cracks: 1,1
frame_00148.jpg,19.056397,74.711312,"ee ee Ahmadnagar, Maharashtra, India &, ‘ at, ee a tee 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra 2s, Gehl = 414005, India, es Lat 19.056397° Long 74.711312°, A Ae",None,0
frame_00149.jpg,19.056397,74.711312,"aoa = 414005, India, WE batik » io,”",None,0
frame_00150.jpg,19.056397,74.711312,"M Anmadnagar. Maharashtra, India, au4 a 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra, <V ~ Lat 19.056397° Long 74.711312°",None,0
frame_00151.jpg,19.056397,74.711312,"Ahmadnagar, Maharasntra, India, 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra, 414005, India",cracks: 1,1
frame_00152.jpg,19.056397,74.711312,"Ahmadnagar, Maharashtra, India, 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra#, 414005, India",cracks: 1,1
frame_00153.jpg,19.056397,74.711312,"Ahmadnagar, MaharasnNtra, India, 7, Mohininagar, Kedgaon, Anmadnagar, Maharashtra «",cracks: 2,2
frame_00154.jpg,19.056397,74.711312,"Ahmadnagar, MaharasNtra, India !, 7, Mohininagar, Kedgaon, Ahmadnagar, Maharashtra =<, 414005, India",cracks: 1,1
frame_00155.jpg,19.056363,74.711295,"Ahmadnagar, Maharashtra, India, 7, Mohininagar, Kedgaon, Anhmadnagar, Maharashtra, 414005, India",None,0
frame_00156.jpg,19.056363,74.711295,"414005, India",None,0
